id,birthtime_1,birthtime_2,birthtime_3,birthtime_4,birthtime_5,birthtime_6,birthtime_7,birthtime_8,birthtime_9,birthtime_10,birthtime_11,birthtime_12,birthtime_13,birthtime_14,birthtime_15,birthtime_16,birthtime_17,birthtime_18,birthtime_19,birthtime_20,birthtime_21,birthtime_22,birthtime_23,birthtime_24
208,50.15,135.15,195.166666666667,310.15,315.133333333333,395.133333333333,410.133333333333,415.133333333333,455.133333333333,1060.13333333333,,,,,,,,,,,,,,
209,930.133333333333,975.133333333333,1020.11666666667,1060.13333333333,1145.11666666667,1185.11666666667,,,,,,,,,,,,,,,,,,
210,50.15,115.15,195.166666666667,270.166666666667,305.15,365.15,455.133333333333,515.133333333333,530.133333333333,560.116666666667,980.133333333333,1010.13333333333,1065.11666666667,1175.11666666667,1290.9,,,,,,,,,
211,0.15,60.15,85.1333333333333,160.15,245.166666666667,325.133333333333,370.133333333333,405.133333333333,580.133333333333,955.133333333333,1035.11666666667,1060.13333333333,1120.11666666667,1195.11666666667,,,,,,,,,,
212,45.15,110.15,130.15,205.166666666667,280.166666666667,300.133333333333,380.133333333333,405.133333333333,485.133333333333,500.133333333333,540.133333333333,555.116666666667,940.133333333333,1010.13333333333,1055.11666666667,1115.11666666667,1135.11666666667,1155.11666666667,1270.11666666667,1275.11666666667,,,,
213,90.15,170.15,215.166666666667,250.166666666667,345.133333333333,450.133333333333,1000.13333333333,1005.11666666667,1080.11666666667,1170.11666666667,1300.13333333333,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,
215,30.1333333333333,100.15,180.15,270.166666666667,340.133333333333,385.133333333333,435.133333333333,675.116666666667,975.133333333333,1075.13333333333,1155.11666666667,1160.11666666667,,,,,,,,,,,,
216,0.15,85.1333333333333,160.15,180.15,215.166666666667,250.166666666667,320.133333333333,405.133333333333,440.133333333333,965.116666666667,1005.11666666667,1030.13333333333,1075.13333333333,1145.11666666667,1270.11666666667,,,,,,,,,
217,45.15,115.15,200.166666666667,405.133333333333,860.133333333333,950.133333333333,955.133333333333,995.133333333333,1125.11666666667,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,
219,0.15,180.15,965.116666666667,1045.13333333333,1190.11666666667,1280.11666666667,,,,,,,,,,,,,,,,,,
220,155.15,180.15,285.166666666667,305.15,380.133333333333,400.133333333333,960.133333333333,1065.11666666667,1115.11666666667,1145.11666666667,,,,,,,,,,,,,,
221,40.1333333333333,120.15,205.166666666667,315.133333333333,370.133333333333,450.133333333333,470.133333333333,565.133333333333,970.133333333333,1000.13333333333,1055.11666666667,1065.11666666667,1130.11666666667,,,,,,,,,,,
222,40.1333333333333,120.15,195.166666666667,225.166666666667,260.166666666667,355.133333333333,400.133333333333,405.133333333333,425.15,430.133333333333,460.116666666667,945.133333333333,970.133333333333,1030.13333333333,1115.11666666667,1215.11666666667,1235.11666666667,,,,,,,
223,10.15,100.15,105.15,120.15,170.15,270.166666666667,400.133333333333,1025.11666666667,1105.11666666667,1200.11666666667,,,,,,,,,,,,,,
224,50.15,140.15,160.15,250.166666666667,315.133333333333,360.133333333333,450.133333333333,550.116666666667,960.133333333333,985.133333333333,1045.13333333333,1100.11666666667,1120.11666666667,1140.11666666667,,,,,,,,,,
225,10.15,115.15,255.166666666667,295.15,380.133333333333,385.133333333333,390.133333333333,995.133333333333,1220.11666666667,,,,,,,,,,,,,,,
226,65.15,80.15,220.166666666667,225.166666666667,305.15,380.133333333333,395.133333333333,455.133333333333,605.116666666667,825.116666666667,995.133333333333,1105.11666666667,1110.11666666667,1215.11666666667,1225.11666666667,,,,,,,,,
227,1095.11666666667,,,,,,,,,,,,,,,,,,,,,,,
228,10.15,65.15,140.15,200.166666666667,275.166666666667,370.133333333333,445.133333333333,,,,,,,,,,,,,,,,,
229,210.166666666667,365.15,445.133333333333,565.133333333333,655.116666666667,955.133333333333,965.116666666667,990.133333333333,1025.11666666667,1205.11666666667,1305.11666666667,1310.11666666667,,,,,,,,,,,,
230,45.15,150.15,285.166666666667,460.116666666667,650.116666666667,710.133333333333,785.116666666667,1025.11666666667,1105.11666666667,,,,,,,,,,,,,,,
231,210.166666666667,295.15,335.15,380.133333333333,865.133333333333,1015.13333333333,1065.11666666667,1275.11666666667,1305.11666666667,,,,,,,,,,,,,,,
